scheme_code,age,gender,state,education_level,marks_percent,family_income,nirf_rank,qs_rank,has_admission_offer,is_pwd,pwd_percent,ocr_caste_ok,ocr_income_ok,ocr_academic_ok,merit_score,decision
A023B,24,female,Manipur,masters,89.3,602000.0,85,999,1,0,0,1,1,0,65.72,Ineligible
A023B,20,female,Odisha,masters,61.4,570000.0,65,999,1,0,0,1,1,1,59.56,Eligible
ARG45,35,male,Tamil Nadu,masters,81.8,496000.0,88,999,0,0,0,1,1,0,62.72,Ineligible
A023B,22,male,Karnataka,masters,63.3,257000.0,2,999,1,0,0,0,1,1,70.32,Ineligible
BVOBC,21,male,Andhra Pradesh,bachelors,51.2,284000.0,110,999,1,0,0,1,1,1,48.48,Ineligible
BVOBC,18,female,Odisha,bachelors,92.1,276000.0,140,999,1,0,0,1,1,1,69.84,Ineligible
A023B,21,female,Chhattisgarh,bachelors,57.2,732000.0,2,999,1,0,0,1,1,1,62.88,Ineligible
BVOBC,19,female,Karnataka,bachelors,78.3,357000.0,140,999,1,0,0,1,1,0,64.32,Ineligible
AZKMI,28,male,Madhya Pradesh,postdoc,83.2,865000.0,999,3,0,0,0,1,1,1,68.28,Ineligible
ARG45,33,male,Andhra Pradesh,phd,89.5,68000.0,2,999,0,0,0,1,1,1,85.8,Ineligible
A023B,25,male,Assam,masters,63.3,161000.0,2,999,1,0,0,1,1,1,75.32,Eligible
AZKMI,33,male,Rajasthan,phd,73.2,178000.0,999,32,1,0,0,1,0,1,79.28,Borderline
AZKMI,30,female,Meghalaya,postdoc,82.5,110000.0,999,32,1,0,0,1,1,1,88.0,Eligible
A023B,22,male,Nagaland,masters,81.4,238000.0,3,999,1,0,0,0,1,1,77.56,Ineligible
BPVGK,14,male,Rajasthan,10th,71.3,199000.0,999,999,1,0,0,1,1,1,61.52,Eligible
BVOBC,19,male,Rajasthan,12th,61.7,227000.0,2,999,1,0,0,1,1,1,69.68,Eligible
BPVGK,17,female,Odisha,10th,67.8,48000.0,999,999,1,0,0,1,1,1,65.12,Eligible
AZKMI,22,male,Rajasthan,phd,65.5,157000.0,999,3,0,0,0,0,1,1,76.2,Ineligible
ARG45,36,female,Arunachal Pradesh,phd,70.2,830000.0,110,999,1,0,0,1,1,1,51.08,Eligible
BVOBC,23,female,Maharashtra,12th,82.1,120000.0,85,999,1,0,0,1,0,1,77.84,Borderline
BVOBC,20,female,Tripura,bachelors,62.7,139000.0,2,999,1,0,0,1,1,1,80.08,Eligible
BPVGK,14,male,Gujarat,10th,74.7,173000.0,999,999,1,0,0,1,1,1,62.88,Eligible
ARG45,35,female,Karnataka,masters,56.3,895000.0,2,999,1,0,0,1,1,1,62.52,Eligible
BVOBC,20,female,Nagaland,bachelors,60.3,62000.0,1,999,1,0,0,1,1,1,79.12,Eligible
BPVGK,16,male,Tripura,10th,79.8,161000.0,999,999,1,0,0,1,1,1,64.92,Eligible
ARG45,36,female,Assam,masters,75.3,873000.0,250,999,1,0,0,1,1,1,53.12,Eligible
BPVGK,15,male,Madhya Pradesh,10th,47.6,151000.0,999,999,1,0,0,1,1,1,52.04,Ineligible
BVOBC,20,male,Karnataka,bachelors,60.5,367000.0,1,999,1,0,0,1,0,1,69.2,Ineligible
BPVGK,15,female,Gujarat,10th,64.8,107000.0,999,999,1,0,0,1,1,1,63.92,Eligible
BVOBC,24,female,Mizoram,bachelors,50.0,393000.0,140,999,1,0,0,1,1,1,53.0,Ineligible
AZKMI,21,female,Gujarat,phd,74.9,626000.0,999,650,1,0,0,1,1,1,49.96,Ineligible
ARG45,35,male,Manipur,phd,93.5,599000.0,140,999,1,0,0,1,1,1,60.4,Eligible
A023B,18,female,Karnataka,bachelors,91.1,134000.0,72,999,1,0,0,1,1,1,81.44,Eligible
BVOBC,17,female,Telangana,bachelors,78.6,46000.0,59,999,1,0,0,1,1,1,76.44,Eligible
BPVGK,15,female,Arunachal Pradesh,10th,50.4,61000.0,999,999,1,0,0,1,1,1,58.16,Eligible
BVOBC,23,female,Tripura,bachelors,73.8,396000.0,2,999,1,0,0,1,1,1,79.52,Ineligible
BPVGK,17,male,Odisha,10th,63.9,182000.0,999,999,1,0,0,1,1,1,58.56,Eligible
BVOBC,18,male,Manipur,12th,56.7,364000.0,140,999,1,0,0,1,0,1,50.68,Ineligible
AZKMI,31,male,Odisha,masters,93.3,628000.0,999,650,1,0,0,1,1,1,52.32,Ineligible
BVOBC,19,male,Karnataka,12th,70.5,391000.0,65,999,1,0,0,1,1,1,63.2,Ineligible
BVOBC,22,male,Tamil Nadu,12th,77.3,322000.0,78,999,1,0,0,1,1,1,65.92,Ineligible
A023B,22,male,Tripura,bachelors,85.7,139000.0,3,999,1,0,0,1,1,1,84.28,Eligible
AZKMI,23,female,Meghalaya,masters,69.4,601000.0,999,22,1,0,0,1,1,1,67.76,Ineligible
BVOBC,23,male,Jharkhand,12th,82.0,241000.0,2,999,1,0,0,1,1,1,77.8,Eligible
ARG45,24,female,Andhra Pradesh,phd,62.4,312000.0,3,999,1,0,0,0,1,1,74.96,Ineligible
BVOBC,23,female,Assam,bachelors,87.9,177000.0,88,999,1,0,0,1,1,1,80.16,Eligible
BVOBC,20,male,Nagaland,bachelors,61.0,387000.0,88,999,1,0,0,1,1,1,59.4,Ineligible
A023B,24,female,Tripura,masters,59.9,486000.0,5,999,1,0,0,1,1,1,68.96,Eligible
BPVGK,14,female,Nagaland,10th,85.9,285000.0,999,999,1,0,0,1,1,1,67.36,Ineligible
ARG45,23,male,Arunachal Pradesh,phd,94.6,463000.0,110,999,1,0,0,1,1,1,60.84,Eligible
ARG45,36,male,Karnataka,masters,54.9,269000.0,95,999,1,0,0,1,1,1,56.96,Ineligible
BVOBC,23,male,Manipur,12th,45.5,133000.0,250,999,1,0,0,1,1,1,51.2,Ineligible
ARG45,31,female,Sikkim,masters,65.5,81000.0,2,999,1,0,0,1,1,1,81.2,Eligible
BVOBC,20,female,Manipur,bachelors,62.8,75000.0,78,999,1,0,0,1,1,1,70.12,Eligible
ARG45,24,male,Chhattisgarh,masters,73.2,524000.0,88,999,1,0,0,0,1,1,59.28,Ineligible
ARG45,33,male,Arunachal Pradesh,masters,70.2,421000.0,85,999,1,0,0,1,1,1,58.08,Eligible
ARG45,27,female,Karnataka,masters,70.6,280000.0,140,999,1,0,0,1,1,1,61.24,Eligible
A023B,22,female,Sikkim,bachelors,83.9,305000.0,65,999,1,0,0,1,1,1,73.56,Eligible
ARG45,30,female,Maharashtra,masters,75.0,471000.0,6,999,1,0,0,1,1,1,75.0,Eligible
BPVGK,17,male,Rajasthan,10th,65.5,187000.0,999,999,1,0,0,1,1,1,59.2,Eligible
A023B,22,male,Gujarat,bachelors,78.1,201000.0,2,999,1,0,0,1,1,1,76.24,Eligible
BVOBC,24,female,Odisha,12th,95.5,77000.0,2,999,1,0,0,1,0,1,93.2,Borderline
AZKMI,24,male,Sikkim,masters,59.4,764000.0,999,650,1,0,0,1,1,1,38.76,Ineligible
BVOBC,21,male,Odisha,12th,61.5,293000.0,72,999,1,0,0,1,0,1,59.6,Ineligible
BPVGK,17,male,Assam,10th,90.9,348000.0,999,999,1,0,0,1,1,1,64.36,Ineligible
ARG45,32,male,Gujarat,phd,72.0,545000.0,5,999,1,0,0,1,1,1,68.8,Eligible
BVOBC,22,female,Meghalaya,bachelors,93.5,158000.0,85,999,1,0,0,1,1,1,82.4,Eligible
BPVGK,17,male,Mizoram,10th,55.9,167000.0,999,999,1,0,0,1,1,1,55.36,Eligible
AZKMI,31,male,Kerala,postdoc,84.3,141000.0,999,32,1,0,0,1,0,1,83.72,Borderline
A023B,20,other,Arunachal Pradesh,masters,61.8,752000.0,1,999,1,0,0,1,1,1,59.72,Ineligible
AZKMI,23,female,Gujarat,postdoc,54.3,292000.0,999,2,1,0,0,1,1,1,71.72,Ineligible
AZKMI,36,female,Arunachal Pradesh,masters,60.3,180000.0,999,2,1,0,0,1,1,1,79.12,Ineligible
BVOBC,17,female,Assam,12th,67.4,300000.0,6,999,1,0,0,1,1,1,76.96,Ineligible
ARG45,31,male,Assam,phd,65.8,421000.0,6,999,1,0,0,1,1,1,66.32,Eligible
BVOBC,21,female,Jharkhand,12th,71.4,223000.0,110,999,1,0,0,1,1,1,61.56,Eligible
BPVGK,14,male,Chhattisgarh,10th,71.4,343000.0,999,999,1,0,0,0,0,1,56.56,Ineligible
BPVGK,15,male,Mizoram,10th,83.1,335000.0,999,999,1,0,0,1,1,1,61.24,Ineligible
AZKMI,33,female,Odisha,postdoc,62.9,741000.0,999,14,1,0,0,1,1,1,65.16,Ineligible
AZKMI,25,female,Telangana,postdoc,64.7,628000.0,999,32,1,0,0,1,1,0,65.88,Ineligible
ARG45,31,female,Arunachal Pradesh,masters,63.9,683000.0,1,999,1,0,0,1,1,1,65.56,Eligible
BPVGK,15,male,Meghalaya,10th,82.5,310000.0,999,999,1,0,0,1,1,1,61.0,Ineligible
AZKMI,23,female,Telangana,phd,70.5,424000.0,999,21,0,0,0,1,1,1,73.2,Ineligible
A023B,18,male,Gujarat,bachelors,91.9,89000.0,1,999,1,0,0,1,0,1,86.76,Borderline
A023B,21,male,Arunachal Pradesh,masters,94.4,310000.0,78,999,1,0,0,1,1,1,72.76,Eligible
A023B,25,female,Tripura,masters,88.3,304000.0,2,999,1,0,0,1,1,1,85.32,Eligible
BVOBC,20,female,Kerala,12th,52.7,376000.0,85,999,1,0,0,1,1,1,61.08,Ineligible
BPVGK,17,male,Jharkhand,10th,87.5,263000.0,999,999,1,0,0,1,1,1,63.0,Ineligible
A023B,19,female,Assam,bachelors,94.6,726000.0,1,999,1,0,0,1,1,1,77.84,Ineligible
BVOBC,23,female,Kerala,12th,57.1,134000.0,88,999,1,0,0,1,1,1,67.84,Eligible
AZKMI,27,female,Gujarat,masters,85.1,626000.0,999,4,1,0,0,1,1,1,74.04,Ineligible
BPVGK,14,female,Nagaland,10th,49.5,288000.0,999,999,1,0,0,1,1,1,52.8,Ineligible
ARG45,25,male,Assam,phd,67.8,101000.0,72,999,1,0,0,0,1,1,67.12,Ineligible
A023B,19,male,Gujarat,bachelors,60.2,124000.0,2,999,1,0,0,1,1,1,74.08,Eligible
BVOBC,18,male,Meghalaya,12th,95.9,111000.0,78,999,1,0,0,1,1,1,78.36,Eligible
BVOBC,23,female,Sikkim,bachelors,70.3,178000.0,59,999,1,0,0,1,1,1,73.12,Eligible
AZKMI,28,male,Odisha,postdoc,63.3,471000.0,999,22,1,0,0,1,1,1,65.32,Eligible
BPVGK,17,male,Karnataka,10th,84.1,145000.0,999,999,1,0,0,1,1,1,66.64,Eligible
A023B,21,female,Maharashtra,bachelors,93.5,641000.0,2,999,1,1,78,1,0,0,82.4,Ineligible
ARG45,34,male,Meghalaya,masters,84.4,856000.0,110,999,1,0,0,1,1,1,51.76,Eligible
A023B,18,male,Mizoram,masters,95.7,486000.0,2,999,1,0,0,1,0,1,78.28,Borderline
ARG45,25,female,Odisha,masters,73.7,61000.0,1,999,1,0,0,1,1,1,84.48,Eligible
BPVGK,15,female,Assam,10th,83.7,301000.0,999,999,1,0,0,1,0,1,66.48,Ineligible
BPVGK,16,female,Chhattisgarh,10th,51.8,80000.0,999,999,1,0,0,0,1,0,58.72,Borderline
BVOBC,22,female,Karnataka,12th,78.9,333000.0,110,999,1,0,0,1,1,1,64.56,Ineligible
BVOBC,17,male,Kerala,12th,75.7,372000.0,2,999,1,0,0,1,1,1,75.28,Ineligible
AZKMI,26,female,Mizoram,postdoc,89.8,180000.0,999,650,1,0,0,1,1,1,70.92,Ineligible
ARG45,33,female,Meghalaya,masters,52.2,428000.0,59,999,0,0,0,1,1,1,55.88,Ineligible
A023B,21,female,Andhra Pradesh,bachelors,74.4,655000.0,85,999,1,0,0,0,1,1,59.76,Ineligible
AZKMI,23,male,Karnataka,phd,76.7,652000.0,999,21,1,0,0,0,1,1,65.68,Ineligible
ARG45,28,female,Rajasthan,phd,79.7,310000.0,2,999,1,0,0,1,1,1,81.88,Eligible
AZKMI,36,female,Nagaland,masters,54.4,286000.0,999,32,1,0,0,1,1,1,71.76,Ineligible
A023B,24,male,Meghalaya,bachelors,71.0,355000.0,85,999,1,0,0,1,1,1,63.4,Eligible
ARG45,27,male,Chhattisgarh,phd,93.7,555000.0,65,999,1,0,0,1,1,1,67.48,Eligible
