ocr_text_similarity,income_discrepancy_ratio,marks_discrepancy,duplicate_cert_count,duplicate_bank_count,fuzzy_name_match_score,certificate_tamper_flag,is_fraud,risk_label
0.251,3.0,22.3,2,2,0.56,1,1,Suspicious
0.919,1.02,0.9,1,1,0.98,0,0,Normal
0.585,1.82,24.3,2,2,0.32,1,1,High_Risk
0.229,3.53,27.0,5,3,0.38,1,1,High_Risk
0.894,1.01,0.1,1,1,0.97,0,0,Normal
0.238,4.1,32.4,5,3,0.65,1,1,High_Risk
0.854,0.97,0.9,1,1,0.96,0,0,Normal
0.912,0.97,0.0,1,1,0.91,0,0,Normal
0.892,1.04,1.7,1,1,0.98,0,0,Normal
0.858,0.97,1.2,1,1,0.92,0,0,Normal
0.893,1.01,1.5,1,1,0.9,0,0,Normal
0.95,0.98,1.7,1,1,0.92,0,0,Normal
0.945,1.01,1.7,1,1,0.92,0,0,Normal
0.881,1.0,1.9,1,1,0.96,0,0,Normal
0.974,0.99,1.1,1,1,0.98,0,0,Normal
0.859,0.99,1.1,1,1,0.94,0,0,Normal
0.872,0.98,0.5,1,1,0.91,0,0,Normal
0.947,1.01,1.2,1,1,0.98,0,0,Normal
0.984,0.95,0.4,1,1,0.94,0,0,Normal
0.87,0.99,0.4,1,1,0.95,0,0,Normal
0.927,1.02,1.6,1,1,0.92,0,0,Normal
0.989,1.01,1.2,1,1,0.93,0,0,Normal
0.953,1.02,1.1,1,1,0.93,0,0,Normal
0.946,1.01,0.2,1,1,0.95,0,0,Normal
0.873,1.02,0.4,1,1,0.91,0,0,Normal
0.962,0.96,1.0,1,1,0.99,0,0,Normal
0.958,0.99,0.1,1,1,0.96,0,0,Normal
0.9,0.98,0.2,1,1,0.98,0,0,Normal
0.972,0.99,0.7,1,1,0.97,0,0,Normal
0.557,3.17,30.5,2,2,0.67,1,1,High_Risk
0.455,4.84,27.0,2,3,0.61,1,1,High_Risk
0.91,1.03,0.3,1,1,0.92,0,0,Normal
0.892,1.03,1.7,1,1,0.95,0,0,Normal
0.943,0.98,0.9,1,1,0.9,0,0,Normal
0.877,1.03,0.2,1,1,0.96,0,0,Normal
0.981,0.99,0.4,1,1,0.97,0,0,Normal
0.981,0.99,0.5,1,1,0.92,0,0,Normal
0.974,1.0,1.0,1,1,0.95,0,0,Normal
0.429,2.93,26.5,5,3,0.31,1,1,High_Risk
0.911,1.03,1.4,1,1,0.93,0,0,Normal
0.311,3.94,12.9,5,2,0.57,1,1,Suspicious
0.935,1.01,1.6,1,1,0.92,0,0,Normal
0.964,1.0,0.4,1,1,0.96,0,0,Normal
0.962,1.04,0.7,1,1,0.92,0,0,Normal
0.881,1.02,0.7,1,1,0.97,0,0,Normal
0.942,1.02,0.9,1,1,0.9,0,0,Normal
0.866,1.0,1.9,1,1,0.99,0,0,Normal
0.61,3.86,24.9,3,3,0.62,0,1,High_Risk
0.933,0.98,0.2,1,1,1.0,0,0,Normal
0.949,1.01,1.5,1,1,0.93,0,0,Normal
0.949,1.05,2.0,1,1,0.92,0,0,Normal
0.916,1.02,1.6,1,1,0.97,0,0,Normal
0.975,0.97,1.3,1,1,0.94,0,0,Normal
0.868,0.99,1.5,1,1,0.91,0,0,Normal
0.943,1.0,1.4,1,1,0.92,0,0,Normal
0.854,1.05,0.6,1,1,0.91,0,0,Normal
0.879,1.03,0.5,1,1,0.94,0,0,Normal
0.941,1.0,1.3,1,1,0.92,0,0,Normal
0.889,1.0,1.9,1,1,0.9,0,0,Normal
0.985,0.98,1.3,1,1,0.97,0,0,Normal
0.904,1.04,0.8,1,1,0.93,0,0,Normal
0.93,0.95,0.4,1,1,0.99,0,0,Normal
0.877,1.02,1.5,1,1,0.98,0,0,Normal
0.95,0.98,0.1,1,1,0.98,0,0,Normal
0.938,1.05,0.5,1,1,0.98,0,0,Normal
0.95,1.0,0.8,1,1,0.99,0,0,Normal
0.874,0.96,0.5,1,1,0.95,0,0,Normal
0.982,0.97,1.0,1,1,0.92,0,0,Normal
0.984,0.98,1.6,1,1,0.9,0,0,Normal
0.865,1.01,2.0,1,1,0.99,0,0,Normal
0.951,0.98,0.1,1,1,0.93,0,0,Normal
0.939,0.99,0.2,1,1,0.94,0,0,Normal
0.971,1.04,0.7,1,1,0.93,0,0,Normal
0.232,3.31,25.6,2,2,0.48,1,1,High_Risk
0.608,4.73,20.3,3,4,0.36,0,1,Suspicious
0.947,1.0,1.3,1,1,0.94,0,0,Normal
0.91,0.98,0.2,1,1,0.98,0,0,Normal
0.948,1.04,0.4,1,1,0.95,0,0,Normal
0.877,0.99,0.6,1,1,0.93,0,0,Normal
0.944,0.97,0.9,1,1,0.91,0,0,Normal
0.923,0.98,0.7,1,1,0.99,0,0,Normal
0.878,1.02,1.4,1,1,0.91,0,0,Normal
0.897,1.01,1.6,1,1,1.0,0,0,Normal
0.957,0.97,1.5,1,1,0.97,0,0,Normal
0.272,2.68,17.1,3,2,0.34,0,1,High_Risk
0.981,0.95,0.5,1,1,0.9,0,0,Normal
0.883,0.98,0.5,1,1,0.96,0,0,Normal
0.987,1.01,0.2,1,1,0.92,0,0,Normal
0.918,1.01,1.0,1,1,0.97,0,0,Normal
0.986,0.97,1.3,1,1,0.93,0,0,Normal
0.962,0.97,1.3,1,1,0.95,0,0,Normal
0.931,1.04,1.2,1,1,0.92,0,0,Normal
0.95,1.04,1.1,1,1,1.0,0,0,Normal
0.389,3.96,27.7,4,3,0.37,0,1,High_Risk
0.904,0.95,1.2,1,1,0.96,0,0,Normal
0.973,1.05,1.2,1,1,0.95,0,0,Normal
0.909,1.02,1.3,1,1,0.93,0,0,Normal
0.854,0.99,0.7,1,1,0.98,0,0,Normal
0.911,1.05,1.7,1,1,0.98,0,0,Normal
0.902,1.04,1.1,1,1,0.95,0,0,Normal
0.54,4.59,19.9,2,2,0.51,1,1,Suspicious
0.934,0.99,1.6,1,1,0.94,0,0,Normal
0.983,0.98,0.4,1,1,0.94,0,0,Normal
0.982,1.03,0.1,1,1,0.92,0,0,Normal
0.982,1.0,1.3,1,1,0.9,0,0,Normal
0.961,1.03,1.4,1,1,0.99,0,0,Normal
0.552,1.88,24.7,3,2,0.59,0,1,High_Risk
0.205,4.39,19.3,5,3,0.69,1,1,Suspicious
0.982,1.02,1.5,1,1,0.93,0,0,Normal
0.896,0.95,1.1,1,1,0.92,0,0,Normal
0.976,1.03,0.3,1,1,0.93,0,0,Normal
0.946,1.03,1.0,1,1,0.92,0,0,Normal
0.956,0.97,0.4,1,1,0.94,0,0,Normal
0.94,0.99,0.6,1,1,0.95,0,0,Normal
0.969,1.05,1.5,1,1,0.91,0,0,Normal
0.94,1.03,0.5,1,1,0.98,0,0,Normal
0.93,1.05,0.9,1,1,0.99,0,0,Normal
0.86,0.98,1.4,1,1,0.99,0,0,Normal
0.977,1.04,0.9,1,1,0.96,0,0,Normal
0.514,4.84,25.0,3,4,0.39,1,1,Suspicious
0.333,2.57,24.1,3,2,0.39,1,1,High_Risk
0.888,0.96,0.9,1,1,0.99,0,0,Normal
0.989,1.05,0.9,1,1,0.98,0,0,Normal
0.928,0.95,0.0,1,1,0.98,0,0,Normal
0.392,3.28,13.1,4,3,0.51,0,1,High_Risk
0.896,1.02,0.6,1,1,0.94,0,0,Normal
0.973,1.02,0.0,1,1,0.98,0,0,Normal
0.863,1.03,0.6,1,1,0.99,0,0,Normal
0.885,1.02,0.4,1,1,0.92,0,0,Normal
0.851,1.03,1.4,1,1,0.99,0,0,Normal
0.97,0.98,1.0,1,1,0.95,0,0,Normal
0.896,1.03,0.8,1,1,0.95,0,0,Normal
0.984,0.95,0.5,1,1,0.92,0,0,Normal
0.91,1.05,1.8,1,1,0.98,0,0,Normal
0.854,0.98,1.3,1,1,0.98,0,0,Normal
0.907,0.97,1.6,1,1,0.9,0,0,Normal
0.953,0.97,1.3,1,1,1.0,0,0,Normal
0.878,0.96,1.2,1,1,0.96,0,0,Normal
0.865,1.0,1.1,1,1,0.91,0,0,Normal
0.856,1.03,0.0,1,1,0.98,0,0,Normal
0.876,1.03,1.7,1,1,0.92,0,0,Normal
0.896,1.02,1.0,1,1,0.95,0,0,Normal
0.932,1.03,1.0,1,1,0.95,0,0,Normal
0.955,1.01,1.1,1,1,0.96,0,0,Normal
0.915,0.95,0.0,1,1,0.98,0,0,Normal
0.974,0.96,1.0,1,1,0.93,0,0,Normal
0.248,3.08,11.0,2,3,0.38,1,1,High_Risk
0.322,4.33,26.8,3,4,0.43,1,1,High_Risk
0.971,0.96,1.4,1,1,0.93,0,0,Normal
0.86,1.04,1.6,1,1,0.98,0,0,Normal
0.976,1.0,2.0,1,1,0.95,0,0,Normal
0.911,1.0,0.6,1,1,0.91,0,0,Normal
0.96,0.97,0.2,1,1,0.98,0,0,Normal
0.939,0.99,0.6,1,1,0.99,0,0,Normal
0.888,1.04,0.4,1,1,0.9,0,0,Normal
0.902,0.97,0.7,1,1,0.91,0,0,Normal
0.434,1.99,29.5,4,3,0.4,1,1,High_Risk
0.914,1.0,1.5,1,1,1.0,0,0,Normal
0.896,1.01,0.7,1,1,0.96,0,0,Normal
0.945,0.98,1.8,1,1,0.91,0,0,Normal
0.883,1.04,1.1,1,1,0.93,0,0,Normal
0.978,1.0,0.9,1,1,0.93,0,0,Normal
0.905,0.98,1.5,1,1,0.98,0,0,Normal
0.924,0.99,0.0,1,1,0.91,0,0,Normal
0.89,1.0,1.6,1,1,0.92,0,0,Normal
0.986,1.02,2.0,1,1,0.96,0,0,Normal
0.985,0.98,1.9,1,1,1.0,0,0,Normal
0.918,1.0,0.6,1,1,0.97,0,0,Normal
0.905,1.01,1.4,1,1,0.98,0,0,Normal
0.928,1.0,0.5,1,1,0.94,0,0,Normal
0.884,1.01,1.8,1,1,0.92,0,0,Normal
0.451,3.76,12.1,3,4,0.46,1,1,Suspicious
0.951,0.96,1.7,1,1,1.0,0,0,Normal
0.868,0.97,0.1,1,1,0.97,0,0,Normal
0.98,1.0,1.9,1,1,0.9,0,0,Normal
0.893,0.96,0.6,1,1,0.9,0,0,Normal
0.94,1.03,0.2,1,1,0.9,0,0,Normal
0.894,0.99,1.5,1,1,0.96,0,0,Normal
0.962,1.03,0.6,1,1,0.93,0,0,Normal
0.975,0.98,1.1,1,1,0.98,0,0,Normal
0.975,1.0,0.5,1,1,0.98,0,0,Normal
0.932,0.95,1.7,1,1,0.95,0,0,Normal
0.856,0.98,0.0,1,1,0.97,0,0,Normal
0.99,1.04,0.5,1,1,0.96,0,0,Normal
0.934,1.03,0.9,1,1,0.97,0,0,Normal
0.927,1.01,1.3,1,1,0.97,0,0,Normal
0.456,2.04,18.0,5,3,0.65,0,1,High_Risk
0.893,0.95,0.3,1,1,0.92,0,0,Normal
0.91,1.04,1.5,1,1,0.96,0,0,Normal
0.971,1.0,1.9,1,1,0.96,0,0,Normal
0.873,1.0,1.9,1,1,0.98,0,0,Normal
0.948,1.03,0.3,1,1,0.97,0,0,Normal
0.909,1.05,0.6,1,1,0.96,0,0,Normal
0.91,1.04,1.0,1,1,0.98,0,0,Normal
0.873,0.97,1.8,1,1,0.96,0,0,Normal
0.912,1.03,1.1,1,1,0.96,0,0,Normal
0.884,1.02,2.0,1,1,0.92,0,0,Normal
0.864,1.04,0.6,1,1,0.96,0,0,Normal
0.984,1.02,1.3,1,1,0.92,0,0,Normal
0.97,0.95,0.1,1,1,0.98,0,0,Normal
0.407,3.85,23.3,3,4,0.34,0,1,Suspicious
0.881,0.95,1.2,1,1,0.92,0,0,Normal
0.956,0.96,0.4,1,1,0.94,0,0,Normal
0.348,2.77,25.4,5,2,0.61,1,1,Suspicious
0.899,1.02,0.7,1,1,0.9,0,0,Normal
0.936,1.05,0.4,1,1,0.93,0,0,Normal
0.93,0.97,0.6,1,1,0.94,0,0,Normal
0.986,1.04,1.9,1,1,0.93,0,0,Normal
0.854,0.98,0.8,1,1,0.97,0,0,Normal
0.918,0.99,1.8,1,1,0.93,0,0,Normal
0.914,1.05,0.1,1,1,0.96,0,0,Normal
0.892,0.99,0.6,1,1,0.99,0,0,Normal
0.471,4.54,19.0,5,4,0.53,1,1,High_Risk
0.901,1.0,1.3,1,1,0.91,0,0,Normal
0.88,0.99,0.2,1,1,0.98,0,0,Normal
0.605,2.7,18.3,5,4,0.41,1,1,Suspicious
0.933,0.96,1.5,1,1,0.96,0,0,Normal
0.86,1.03,0.1,1,1,0.97,0,0,Normal
0.298,2.54,22.8,3,2,0.46,1,1,High_Risk
0.909,1.04,0.3,1,1,0.96,0,0,Normal
0.949,1.01,0.2,1,1,0.95,0,0,Normal
0.92,0.96,0.3,1,1,0.94,0,0,Normal
0.886,1.0,1.2,1,1,0.91,0,0,Normal
0.876,1.04,1.5,1,1,0.95,0,0,Normal
0.959,1.0,1.7,1,1,0.96,0,0,Normal
0.961,1.01,0.8,1,1,0.92,0,0,Normal
0.948,1.03,1.2,1,1,0.97,0,0,Normal
0.952,1.04,1.3,1,1,0.91,0,0,Normal
0.966,0.99,2.0,1,1,0.92,0,0,Normal
0.96,1.04,1.3,1,1,0.98,0,0,Normal
0.944,1.05,1.3,1,1,0.92,0,0,Normal
0.864,1.0,0.9,1,1,0.93,0,0,Normal
0.567,2.16,24.8,2,4,0.65,0,1,High_Risk
0.967,0.98,0.4,1,1,0.95,0,0,Normal
0.41,4.97,32.8,4,3,0.59,1,1,Suspicious
0.922,1.04,0.3,1,1,0.92,0,0,Normal
0.884,1.0,1.3,1,1,0.98,0,0,Normal
0.893,1.04,1.7,1,1,0.93,0,0,Normal
0.927,1.03,1.5,1,1,0.98,0,0,Normal
0.891,1.0,1.2,1,1,0.97,0,0,Normal
0.856,1.0,1.2,1,1,0.96,0,0,Normal
0.48,3.92,31.4,2,3,0.33,1,1,Suspicious
0.944,1.05,1.7,1,1,0.96,0,0,Normal
0.248,2.57,24.5,5,3,0.66,1,1,Suspicious
0.349,4.27,32.7,5,3,0.51,1,1,High_Risk
0.958,0.99,1.9,1,1,0.93,0,0,Normal
0.916,0.96,0.6,1,1,0.95,0,0,Normal
0.924,1.01,0.9,1,1,0.91,0,0,Normal
0.929,0.96,0.7,1,1,0.98,0,0,Normal
0.911,0.98,1.6,1,1,0.95,0,0,Normal
0.965,0.98,1.4,1,1,0.93,0,0,Normal
0.989,0.97,0.0,1,1,0.91,0,0,Normal
0.867,0.96,0.5,1,1,0.96,0,0,Normal
0.891,0.98,0.9,1,1,0.99,0,0,Normal
0.851,0.98,1.6,1,1,0.99,0,0,Normal
0.953,1.0,1.2,1,1,0.96,0,0,Normal
0.434,2.15,24.0,3,4,0.34,0,1,Suspicious
0.952,1.04,0.0,1,1,0.92,0,0,Normal
0.876,1.0,1.8,1,1,0.91,0,0,Normal
0.906,0.96,0.9,1,1,0.93,0,0,Normal
0.968,1.02,1.8,1,1,0.98,0,0,Normal
0.94,0.98,0.4,1,1,0.94,0,0,Normal
0.967,0.97,0.3,1,1,0.92,0,0,Normal
0.412,2.89,19.8,3,4,0.6,1,1,High_Risk
0.926,1.02,1.6,1,1,0.91,0,0,Normal
0.935,0.97,1.9,1,1,0.94,0,0,Normal
0.506,3.24,30.7,2,3,0.43,1,1,Suspicious
0.983,1.02,0.5,1,1,0.9,0,0,Normal
0.885,1.05,0.8,1,1,0.91,0,0,Normal
0.988,1.02,0.7,1,1,0.96,0,0,Normal
0.371,2.25,19.8,5,4,0.49,1,1,High_Risk
0.929,0.97,0.4,1,1,0.96,0,0,Normal
0.915,1.04,0.6,1,1,0.92,0,0,Normal
0.949,1.0,0.1,1,1,0.98,0,0,Normal
0.924,1.01,1.4,1,1,0.98,0,0,Normal
0.871,0.98,0.7,1,1,0.93,0,0,Normal
0.338,4.69,15.2,3,2,0.45,1,1,High_Risk
0.979,1.05,0.4,1,1,0.95,0,0,Normal
0.851,1.04,1.9,1,1,0.93,0,0,Normal
0.873,1.03,0.4,1,1,0.93,0,0,Normal
0.959,0.97,0.6,1,1,0.94,0,0,Normal
0.926,1.04,1.8,1,1,0.92,0,0,Normal
0.982,0.98,0.8,1,1,0.94,0,0,Normal
0.854,1.02,1.2,1,1,0.97,0,0,Normal
0.893,0.97,0.2,1,1,0.98,0,0,Normal
0.869,1.02,0.0,1,1,0.98,0,0,Normal
0.95,0.97,0.2,1,1,0.9,0,0,Normal
0.921,0.99,0.8,1,1,1.0,0,0,Normal
0.904,0.99,1.7,1,1,0.92,0,0,Normal
0.915,1.0,1.8,1,1,0.98,0,0,Normal
0.871,0.96,1.4,1,1,0.9,0,0,Normal
0.909,0.99,0.7,1,1,0.95,0,0,Normal
0.972,1.04,1.2,1,1,0.99,0,0,Normal
0.934,1.05,1.9,1,1,0.95,0,0,Normal
0.953,1.01,0.4,1,1,0.9,0,0,Normal
0.981,1.0,1.5,1,1,0.94,0,0,Normal
0.905,0.96,0.8,1,1,0.96,0,0,Normal
0.887,0.98,1.7,1,1,0.95,0,0,Normal
0.927,0.96,1.0,1,1,0.99,0,0,Normal
0.873,0.98,0.9,1,1,0.97,0,0,Normal
0.945,0.99,1.7,1,1,0.93,0,0,Normal
0.898,1.02,0.7,1,1,0.95,0,0,Normal
0.983,0.95,0.8,1,1,0.99,0,0,Normal
0.979,0.98,1.5,1,1,1.0,0,0,Normal
0.922,0.99,1.7,1,1,0.91,0,0,Normal
0.46,4.25,28.3,4,4,0.63,1,1,Suspicious
0.915,1.04,0.6,1,1,0.99,0,0,Normal
0.976,0.98,0.1,1,1,0.99,0,0,Normal
0.926,1.01,0.1,1,1,0.95,0,0,Normal
0.875,1.02,0.0,1,1,0.97,0,0,Normal
0.487,2.07,26.9,4,4,0.55,1,1,High_Risk
0.946,0.96,1.5,1,1,0.93,0,0,Normal
0.953,0.96,1.3,1,1,0.95,0,0,Normal
0.928,0.99,1.0,1,1,0.91,0,0,Normal
0.854,1.0,1.3,1,1,0.94,0,0,Normal
0.955,1.0,0.5,1,1,0.93,0,0,Normal
0.308,3.91,24.9,4,2,0.44,0,1,High_Risk
0.942,1.05,0.5,1,1,1.0,0,0,Normal
0.851,0.97,1.8,1,1,0.99,0,0,Normal
0.9,0.96,0.5,1,1,0.98,0,0,Normal
0.922,1.02,0.0,1,1,0.9,0,0,Normal
0.912,0.99,2.0,1,1,0.92,0,0,Normal
0.905,0.99,0.4,1,1,0.95,0,0,Normal
0.544,2.6,30.3,4,2,0.64,1,1,High_Risk
0.861,1.02,0.7,1,1,1.0,0,0,Normal
0.934,1.03,2.0,1,1,0.93,0,0,Normal
0.942,1.04,1.3,1,1,0.97,0,0,Normal
0.918,1.04,1.6,1,1,0.99,0,0,Normal
0.897,1.02,0.3,1,1,0.93,0,0,Normal
0.299,4.44,17.2,3,2,0.59,1,1,High_Risk
0.892,1.0,0.8,1,1,0.95,0,0,Normal
0.982,0.97,0.1,1,1,0.97,0,0,Normal
0.893,0.99,1.0,1,1,0.94,0,0,Normal
0.863,1.05,0.3,1,1,1.0,0,0,Normal
0.917,0.99,0.5,1,1,0.95,0,0,Normal
0.871,1.03,0.2,1,1,0.9,0,0,Normal
0.965,1.01,1.3,1,1,0.91,0,0,Normal
0.981,1.01,1.3,1,1,0.99,0,0,Normal
0.95,1.04,1.9,1,1,0.95,0,0,Normal
0.865,1.03,0.2,1,1,0.91,0,0,Normal
0.914,1.03,0.1,1,1,0.92,0,0,Normal
0.875,1.04,0.0,1,1,0.99,0,0,Normal
0.399,4.9,17.0,4,3,0.36,0,1,High_Risk
0.946,1.04,1.8,1,1,0.92,0,0,Normal
0.891,1.0,0.9,1,1,0.98,0,0,Normal
0.862,1.03,1.8,1,1,0.91,0,0,Normal
0.914,0.98,0.5,1,1,0.96,0,0,Normal
0.43,4.7,24.1,5,2,0.67,1,1,High_Risk
0.984,0.95,0.4,1,1,0.92,0,0,Normal
0.961,1.04,0.8,1,1,1.0,0,0,Normal
0.908,0.98,0.6,1,1,0.96,0,0,Normal
0.948,1.02,0.5,1,1,0.94,0,0,Normal
0.239,2.85,20.8,4,2,0.46,1,1,High_Risk
0.9,1.01,1.4,1,1,0.97,0,0,Normal
0.25,2.5,29.2,4,3,0.64,0,1,High_Risk
0.904,1.04,0.5,1,1,0.99,0,0,Normal
0.957,0.96,0.2,1,1,0.94,0,0,Normal
0.868,0.99,1.8,1,1,0.96,0,0,Normal
0.884,1.05,1.3,1,1,0.93,0,0,Normal
0.9,0.98,0.5,1,1,0.95,0,0,Normal
0.937,1.0,0.1,1,1,1.0,0,0,Normal
0.987,1.01,0.2,1,1,0.97,0,0,Normal
0.971,0.96,1.9,1,1,0.94,0,0,Normal
0.933,1.04,0.3,1,1,1.0,0,0,Normal
0.983,1.04,0.9,1,1,0.92,0,0,Normal
0.875,0.98,0.7,1,1,0.95,0,0,Normal
0.962,1.01,1.3,1,1,0.94,0,0,Normal
0.977,0.96,0.8,1,1,0.99,0,0,Normal
0.907,1.03,0.3,1,1,0.99,0,0,Normal
0.918,1.01,0.2,1,1,0.93,0,0,Normal
0.88,0.97,1.8,1,1,0.93,0,0,Normal
